Followers,Name,Team,Nationality,
"158,993,843",LeBron James,Los Angeles Lakers,United States,
"55,314,510",Stephen Curry,Golden State Warriors,United States,
"23,059,404",Russell Westbrook,Los Angeles Clippers,United States,
"19,715,814",Kyrie Irving,Dallas Mavericks,United States / Australia,
"18,305,038",Lonzo Ball,Chicago Bulls,United States,
"17,000,684",Klay Thompson,Golden State Warriors,United States,
"16,006,072",Giannis Antetokounmpo,Milwaukee Bucks,Greece / Nigeria,
"13,425,945",Kevin Durant,Phoenix Suns,United States,
"11,861,345",Chris Paul,Golden State Warriors,United States,
"10,292,325",LaMelo Ball,Charlotte Hornets,United States,
"10,271,473",Damian Lillard,Milwaukee Bucks,United States,
"10,215,982",Paul George,Los Angeles Clippers,United States,
"9,901,055",Jimmy Butler,Miami Heat,United States,
"9,786,713",Ja Morant,Memphis Grizzlies,United States,
"9,081,708",Markelle Fultz,Orlando Magic,United States,
"8,502,580",Luka Doncic,Dallas Mavericks,Slovenia,
"7,573,720",Joel Embiid,Philadelphia Sixers,Cameroon,
"7,536,463",Ben Simmons,Brooklyn Nets,Australia,
"6,654,908",Jayson Tatum,Boston Celtics,United States,
"5,570,172",Devin Booker,Phoenix Suns,United States,
"5,362,051",Zion Williamson,New Orleans Pelicans,United States,
"5,118,569",Trae Young,Atlanta Hawks,United States,
"5,016,812",Kyle Kuzma,Washington Wizards,United States,
"4,259,154",Karl-Anthony Towns,Minnesota Timberwolves,United States / Dominican Republic,
"4,185,453",Draymond Green,Golden State Warriors,United States,
"3,963,427",Tristan Thompson,Cleveland Cavaliers,Canada,
"3,939,830",D'Angelo Russell,Los Angeles Lakers,United States,
"3,817,524",Donovan Mitchell,Cleveland Cavaliers,United States,
"3,483,402",Kevin Love,Miami Heat,United States,
"3,432,596",DeMar DeRozan,Chicago Bulls,United States,
"3,281,308",Victor Wembanyama,San Antonio Spurs,France,
"2,620,991",Dennis Schroder,Toronto Raptors,Germany,
"2,523,534",Shai Gilgeous-Alexander,Oklahoma City Thunder,Canada,
"2,480,940",Zach LaVine,Chicago Bulls,United States,
"2,467,870",Jordan Poole,Washington Wizards,United States,
"2,455,390",Jalen Green,Houston Rockets,United States,
"2,241,947",Tyler Herro,Miami Heat,United States,
"2,225,010",Brandon Ingram,New Orleans Pelicans,United States,
"2,203,251",Andrew Wiggins,Golden State Warriors,Canada,
"2,109,653",Seth Curry,Dallas Mavericks,United States,
"2,063,074",Jordan Clarkson,Utah Jazz,United States / Philippines,
"1,849,772",DeAndre Jordan,Denver Nuggets,United States,
"1,631,714",Anthony Edwards,Minnesota Timberwolves,United States,
"1,619,049",JaVale McGee,Sacramento Kings,United States,
"1,575,725","Kelly Oubre, Jr.",Philadelphia Sixers,United States,
"1,535,110",Kristaps Porzingis,Boston Celtics,Latvia,
"1,487,341",Alex Caruso,Chicago Bulls,United States,
"1,466,891",Kyle Lowry,Miami Heat,United States,
"1,440,855",De'Aaron Fox,Sacramento Kings,United States,
"1,437,705",Victor Oladipo,Oklahoma City Thunder,United States,
"1,387,321",Bradley Beal,Phoenix Suns,United States,
"1,363,904",Cedi Osman,San Antonio Spurs,North Macedonia / Turkey,
"1,316,449",Andre Drummond,Chicago Bulls,United States,
